<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20200427,000000,186.5300000,188.4700000,185.6900000,186.2900000,23.536.090
GAZP,D,20200428,000000,185.9300000,190.6500000,185.7600000,188.5000000,44.154.560
GAZP,D,20200429,000000,189.7800000,195.2300000,188.5300000,193.8700000,56.201.200
GAZP,D,20200430,000000,195.4400000,196.2000000,189.6200000,190.0000000,72.061.970
GAZP,D,20200504,000000,188.0000000,188.1700000,184.5200000,185.7000000,42.833.330
GAZP,D,20200505,000000,188.3900000,190.3900000,187.3000000,190.0000000,39.562.120
GAZP,D,20200506,000000,190.5300000,191.0500000,187.0500000,187.0500000,46.377.880
GAZP,D,20200507,000000,187.5200000,190.3000000,185.5000000,185.8500000,67.256.130
GAZP,D,20200508,000000,186.3400000,186.6400000,183.1000000,185.3400000,60.934.480
GAZP,D,20200512,000000,184.8800000,187.2000000,183.2000000,186.1700000,49.892.900
GAZP,D,20200513,000000,185.5500000,185.5500000,183.8000000,184.2000000,33.177.080
GAZP,D,20200514,000000,183.2700000,184.8500000,181.6800000,183.9100000,49.343.510
GAZP,D,20200515,000000,185.6200000,186.9800000,183.8500000,183.8500000,47.863.870
GAZP,D,20200518,000000,185.4000000,192.5000000,185.1400000,192.5000000,60.009.590
GAZP,D,20200519,000000,193.0000000,194.3900000,191.1000000,194.2000000,60.258.130
GAZP,D,20200520,000000,193.5700000,197.2700000,192.7900000,196.7400000,73.790.890
GAZP,D,20200521,000000,196.1000000,199.2600000,191.4000000,194.7400000,90.059.720
GAZP,D,20200522,000000,194.0000000,195.7600000,192.2100000,194.3500000,42.278.710
GAZP,D,20200525,000000,195.2100000,197.5500000,195.1100000,197.5500000,20.030.490
GAZP,D,20200526,000000,198.8000000,202.3000000,196.3000000,196.8600000,65.940.550
GAZP,D,20200527,000000,196.1000000,197.7500000,193.1500000,194.7300000,55.228.910
GAZP,D,20200528,000000,194.4000000,196.9800000,194.1700000,196.8600000,39.920.270
GAZP,D,20200529,000000,196.2500000,199.9500000,193.2000000,199.9500000,172.617.900
GAZP,D,20200601,000000,200.2500000,202.4700000,197.1500000,198.7200000,54.163.710
GAZP,D,20200602,000000,199.4800000,202.1900000,198.7200000,201.9700000,45.255.750
GAZP,D,20200603,000000,203.1000000,208.1500000,202.0100000,208.0000000,65.058.830
GAZP,D,20200604,000000,207.9900000,207.9900000,200.6000000,201.4600000,72.176.320
GAZP,D,20200605,000000,202.5600000,204.8400000,201.5100000,203.0500000,44.798.190
